"ID","EMBED_STR","SPORT_TYPE","DIFFICULTY","MOVING_TIME_SECONDS","DISTANCE_METERS","GENERATION_MODEL","WORKOUT_SOURCE","STORE_VERSION","RAW_JSON_STR","CREATED_AT"
"SLAM_0fe478d916f94bac92","Recovery Spin
## Warm-up
• 10 min very easy spinning at <POWER_ZONE_1_RECOVERY>

## Main Set
• 40 min easy continuous riding at <POWER_ZONE_1_RECOVERY> to <POWER_ZONE_2_ENDURANCE>
• Keep cadence high (90-100 rpm)
• Power output should feel very easy
• Focus on smooth pedal stroke

## Cool-down
• 10 min easy spin at <POWER_ZONE_1_RECOVERY>

**Tips:** Recovery rides promote blood flow without adding training stress. Keep the effort genuinely easy.","ride","easy","3600","30000","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Recovery Spin"", ""workout_instructions"": ""Recovery Spin\n## Warm-up\n\u2022 10 min very easy spinning at <POWER_ZONE_1_RECOVERY>\n\n## Main Set\n\u2022 40 min easy continuous riding at <POWER_ZONE_1_RECOVERY> to <POWER_ZONE_2_ENDURANCE>\n\u2022 Keep cadence high (90-100 rpm)\n\u2022 Power output should feel very easy\n\u2022 Focus on smooth pedal stroke\n\n## Cool-down\n\u2022 10 min easy spin at <POWER_ZONE_1_RECOVERY>\n\n**Tips:** Recovery rides promote blood flow without adding training stress. Keep the effort genuinely easy."", ""workout_difficulty"": ""easy"", ""sport_specs"": [{""sport_type"": ""ride""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_0fe478d916f94bac92"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-22 05:00:00.000"
"SLAM_aac93ae8987b4f0086","Long Slow Distance
## Warm-up
• 15 min easy build from <PACE_ZONE_1_RECOVERY> to <PACE_ZONE_2_ENDURANCE>

## Main Set
• 60 min continuous running at <PACE_ZONE_2_ENDURANCE>
• Maintain consistent, sustainable pace
• Focus on time on feet rather than speed
• Stay relaxed and efficient

## Cool-down
• 5 min easy jog at <PACE_ZONE_1_RECOVERY>

**Tips:** Long runs build endurance and mental toughness. Fuel appropriately and stay hydrated throughout.","run","easy","4800","19070","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Long Slow Distance"", ""workout_instructions"": ""Long Slow Distance\n## Warm-up\n\u2022 15 min easy build from <PACE_ZONE_1_RECOVERY> to <PACE_ZONE_2_ENDURANCE>\n\n## Main Set\n\u2022 60 min continuous running at <PACE_ZONE_2_ENDURANCE>\n\u2022 Maintain consistent, sustainable pace\n\u2022 Focus on time on feet rather than speed\n\u2022 Stay relaxed and efficient\n\n## Cool-down\n\u2022 5 min easy jog at <PACE_ZONE_1_RECOVERY>\n\n**Tips:** Long runs build endurance and mental toughness. Fuel appropriately and stay hydrated throughout."", ""workout_difficulty"": ""easy"", ""sport_specs"": [{""sport_type"": ""run""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_aac93ae8987b4f0086"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-11-08 08:00:00.000"
"SLAM_ee0870fe26ec4e05b0","Aerobic Endurance Set
## Warm-up
• 600m progressive build
• Include 200m drill work

## Main Set
### Main Swim
8 x 200m at moderate steady pace
• Rest: 20 seconds between reps
• Focus on consistent pacing
• Maintain good technique throughout

## Cool-down
• 400m easy mixed strokes

**Tips:** Build your aerobic capacity with steady, consistent swimming. Pace control is key.","swim","moderate","3600","3000","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Aerobic Endurance Set"", ""workout_instructions"": ""Aerobic Endurance Set\n## Warm-up\n\u2022 600m progressive build\n\u2022 Include 200m drill work\n\n## Main Set\n### Main Swim\n8 x 200m at moderate steady pace\n\u2022 Rest: 20 seconds between reps\n\u2022 Focus on consistent pacing\n\u2022 Maintain good technique throughout\n\n## Cool-down\n\u2022 400m easy mixed strokes\n\n**Tips:** Build your aerobic capacity with steady, consistent swimming. Pace control is key."", ""workout_difficulty"": ""moderate"", ""sport_specs"": [{""sport_type"": ""swim""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_ee0870fe26ec4e05b0"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-14 05:00:00.000"
"SLAM_833360e32913460ba0","Recovery Spin
## Warm-up
• 10 min very easy spinning at <POWER_ZONE_1_RECOVERY>

## Main Set
• 40 min easy continuous riding at <POWER_ZONE_1_RECOVERY> to <POWER_ZONE_2_ENDURANCE>
• Keep cadence high (90-100 rpm)
• Power output should feel very easy
• Focus on smooth pedal stroke

## Cool-down
• 10 min easy spin at <POWER_ZONE_1_RECOVERY>

**Tips:** Recovery rides promote blood flow without adding training stress. Keep the effort genuinely easy.","ride","easy","3600","30000","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Recovery Spin"", ""workout_instructions"": ""Recovery Spin\n## Warm-up\n\u2022 10 min very easy spinning at <POWER_ZONE_1_RECOVERY>\n\n## Main Set\n\u2022 40 min easy continuous riding at <POWER_ZONE_1_RECOVERY> to <POWER_ZONE_2_ENDURANCE>\n\u2022 Keep cadence high (90-100 rpm)\n\u2022 Power output should feel very easy\n\u2022 Focus on smooth pedal stroke\n\n## Cool-down\n\u2022 10 min easy spin at <POWER_ZONE_1_RECOVERY>\n\n**Tips:** Recovery rides promote blood flow without adding training stress. Keep the effort genuinely easy."", ""workout_difficulty"": ""easy"", ""sport_specs"": [{""sport_type"": ""ride""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_833360e32913460ba0"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-11 18:00:00.000"
"SLAM_a927fdc2774545ffa7","Tempo Run
## Warm-up
• 1500m easy at <PACE_ZONE_2_ENDURANCE>
• 4x100m strides progressing to <PACE_ZONE_3_TEMPO>

## Main Set
• 5000m steady tempo at <PACE_ZONE_3_TEMPO>
• This should feel comfortably hard
• Sustainable for the entire duration
• Focus on consistent pacing and controlled breathing

## Cool-down
• 1500m easy at <PACE_ZONE_2_ENDURANCE>
• Light stretching focusing on legs

**Tips:** Tempo pace is your ""comfortably hard"" pace - harder than easy but sustainable for 20-60 minutes.","run","moderate","2278","8000","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Tempo Run"", ""workout_instructions"": ""Tempo Run\n## Warm-up\n\u2022 1500m easy at <PACE_ZONE_2_ENDURANCE>\n\u2022 4x100m strides progressing to <PACE_ZONE_3_TEMPO>\n\n## Main Set\n\u2022 5000m steady tempo at <PACE_ZONE_3_TEMPO>\n\u2022 This should feel comfortably hard\n\u2022 Sustainable for the entire duration\n\u2022 Focus on consistent pacing and controlled breathing\n\n## Cool-down\n\u2022 1500m easy at <PACE_ZONE_2_ENDURANCE>\n\u2022 Light stretching focusing on legs\n\n**Tips:** Tempo pace is your \""comfortably hard\"" pace - harder than easy but sustainable for 20-60 minutes."", ""workout_difficulty"": ""moderate"", ""sport_specs"": [{""sport_type"": ""run""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_a927fdc2774545ffa7"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-11 15:00:00.000"
"SLAM_a3a7eae2654a40a7a6","Full Body Strength
## Warm-up
• 15 min dynamic movement and mobility

## Main Set
### Compound Movements
• Back Squats: 5 sets x 5 reps at 80-85% max
• Deadlifts: 4 sets x 6 reps at 75-80% max
• Bench Press: 4 sets x 8 reps
• Bent-Over Rows: 4 sets x 10 reps
• Overhead Press: 3 sets x 8 reps

### Accessory Work
• Core circuit: 3 rounds
• Plank variations: 3x60 seconds

## Cool-down
• 10 min stretching and mobility

**Tips:** Focus on form over weight. Rest 2-3 minutes between heavy sets.","workout","hard","3600","","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Full Body Strength"", ""workout_instructions"": ""Full Body Strength\n## Warm-up\n\u2022 15 min dynamic movement and mobility\n\n## Main Set\n### Compound Movements\n\u2022 Back Squats: 5 sets x 5 reps at 80-85% max\n\u2022 Deadlifts: 4 sets x 6 reps at 75-80% max\n\u2022 Bench Press: 4 sets x 8 reps\n\u2022 Bent-Over Rows: 4 sets x 10 reps\n\u2022 Overhead Press: 3 sets x 8 reps\n\n### Accessory Work\n\u2022 Core circuit: 3 rounds\n\u2022 Plank variations: 3x60 seconds\n\n## Cool-down\n\u2022 10 min stretching and mobility\n\n**Tips:** Focus on form over weight. Rest 2-3 minutes between heavy sets."", ""workout_difficulty"": ""hard"", ""sport_specs"": [{""sport_type"": ""workout""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_a3a7eae2654a40a7a6"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-11-07 05:00:00.000"
"SLAM_16fb87b151ff49a38f","VO2 Max Intervals
## Warm-up
• 25 min progressive warm-up
• Include 2x3min at <POWER_ZONE_3_TEMPO>

## Main Set
### VO2 Max Efforts
5 intervals of:
• 4 min at 120% FTP (<POWER_ZONE_5_VO2MAX>)
• Very hard sustainable effort
• 4 min very easy recovery

## Cool-down
• 20 min very easy spinning

**Tips:** These are maximum sustainable efforts. Expect significant discomfort. Stay mentally focused.","ride","very hard","5400","45000","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""VO2 Max Intervals"", ""workout_instructions"": ""VO2 Max Intervals\n## Warm-up\n\u2022 25 min progressive warm-up\n\u2022 Include 2x3min at <POWER_ZONE_3_TEMPO>\n\n## Main Set\n### VO2 Max Efforts\n5 intervals of:\n\u2022 4 min at 120% FTP (<POWER_ZONE_5_VO2MAX>)\n\u2022 Very hard sustainable effort\n\u2022 4 min very easy recovery\n\n## Cool-down\n\u2022 20 min very easy spinning\n\n**Tips:** These are maximum sustainable efforts. Expect significant discomfort. Stay mentally focused."", ""workout_difficulty"": ""very hard"", ""sport_specs"": [{""sport_type"": ""ride""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_16fb87b151ff49a38f"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-19 21:00:00.000"
"SLAM_0ef4e1a5a2d74eccba","Steady State Run
## Warm-up
• 2000m progressive build from <PACE_ZONE_1_RECOVERY> to <PACE_ZONE_2_ENDURANCE>

## Main Set
• 6000m at <PACE_ZONE_3_TEMPO> to lower <PACE_ZONE_4_THRESHOLD>
• Slightly faster than marathon pace
• Maintain steady, controlled effort
• Focus on efficient form and rhythm

## Cool-down
• 2000m easy jog at <PACE_ZONE_2_ENDURANCE>

**Tips:** Steady state runs bridge the gap between easy running and hard threshold work.","run","moderate","2427","10000","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Steady State Run"", ""workout_instructions"": ""Steady State Run\n## Warm-up\n\u2022 2000m progressive build from <PACE_ZONE_1_RECOVERY> to <PACE_ZONE_2_ENDURANCE>\n\n## Main Set\n\u2022 6000m at <PACE_ZONE_3_TEMPO> to lower <PACE_ZONE_4_THRESHOLD>\n\u2022 Slightly faster than marathon pace\n\u2022 Maintain steady, controlled effort\n\u2022 Focus on efficient form and rhythm\n\n## Cool-down\n\u2022 2000m easy jog at <PACE_ZONE_2_ENDURANCE>\n\n**Tips:** Steady state runs bridge the gap between easy running and hard threshold work."", ""workout_difficulty"": ""moderate"", ""sport_specs"": [{""sport_type"": ""run""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_0ef4e1a5a2d74eccba"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-10 18:00:00.000"
"SLAM_13c014cde1c24ec7a4","Tempo Intervals
## Warm-up
• 20 min progressive from <POWER_ZONE_1_RECOVERY> to <POWER_ZONE_3_TEMPO>
• Include 3x2min efforts at <POWER_ZONE_3_TEMPO>

## Main Set
### Tempo Blocks
3 intervals of:
• 12 min at <POWER_ZONE_3_TEMPO> (comfortably hard, sustainable)
• 4 min easy spin at <POWER_ZONE_1_RECOVERY>

## Cool-down
• 15 min easy at <POWER_ZONE_1_RECOVERY>

**Tips:** Tempo efforts are just below threshold - hard but sustainable. Maintain steady power throughout.","ride","moderate","6000","50000","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Tempo Intervals"", ""workout_instructions"": ""Tempo Intervals\n## Warm-up\n\u2022 20 min progressive from <POWER_ZONE_1_RECOVERY> to <POWER_ZONE_3_TEMPO>\n\u2022 Include 3x2min efforts at <POWER_ZONE_3_TEMPO>\n\n## Main Set\n### Tempo Blocks\n3 intervals of:\n\u2022 12 min at <POWER_ZONE_3_TEMPO> (comfortably hard, sustainable)\n\u2022 4 min easy spin at <POWER_ZONE_1_RECOVERY>\n\n## Cool-down\n\u2022 15 min easy at <POWER_ZONE_1_RECOVERY>\n\n**Tips:** Tempo efforts are just below threshold - hard but sustainable. Maintain steady power throughout."", ""workout_difficulty"": ""moderate"", ""sport_specs"": [{""sport_type"": ""ride""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_13c014cde1c24ec7a4"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-11-09 06:00:00.000"
"SLAM_f1d237d5f7f34bf9b3","Steady State Run
## Warm-up
• 2000m progressive build from <PACE_ZONE_1_RECOVERY> to <PACE_ZONE_2_ENDURANCE>

## Main Set
• 6000m at <PACE_ZONE_3_TEMPO> to lower <PACE_ZONE_4_THRESHOLD>
• Slightly faster than marathon pace
• Maintain steady, controlled effort
• Focus on efficient form and rhythm

## Cool-down
• 2000m easy jog at <PACE_ZONE_2_ENDURANCE>

**Tips:** Steady state runs bridge the gap between easy running and hard threshold work.","run","moderate","3557","10000","bedrock-sonnet4.0","slam","v1","{""workout_title"": ""Steady State Run"", ""workout_instructions"": ""Steady State Run\n## Warm-up\n\u2022 2000m progressive build from <PACE_ZONE_1_RECOVERY> to <PACE_ZONE_2_ENDURANCE>\n\n## Main Set\n\u2022 6000m at <PACE_ZONE_3_TEMPO> to lower <PACE_ZONE_4_THRESHOLD>\n\u2022 Slightly faster than marathon pace\n\u2022 Maintain steady, controlled effort\n\u2022 Focus on efficient form and rhythm\n\n## Cool-down\n\u2022 2000m easy jog at <PACE_ZONE_2_ENDURANCE>\n\n**Tips:** Steady state runs bridge the gap between easy running and hard threshold work."", ""workout_difficulty"": ""moderate"", ""sport_specs"": [{""sport_type"": ""run""}], ""structured_workout_source_info"": {""source"": ""slam"", ""source_uid"": ""SLAM_f1d237d5f7f34bf9b3"", ""generation_model"": ""bedrock-sonnet4.0""}}","2025-10-24 20:00:00.000"
